Frame number,1853
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.125,2.39099,34.0796,303.499,250.415,991.344,0,-14.7715,-31.2033,301.962,247.399,1405.58,0
1.13,1.65275,34.2955,307.456,250.54,989.884,0,-14.2118,-31.2755,306.735,246.916,1407.48,0
1.135,1.29116,33.8559,309.031,249.917,989.85,0,-14.6223,-31.4602,309.668,245.151,1407.93,0
1.14,1.28562,34.1937,311.842,250.276,989.289,0,-14.611,-32.1927,311.186,244.558,1408.66,0
1.145,1.43969,34.2923,316.985,248.983,989.469,0,-13.8307,-32.3723,312.743,243.945,1409.11,0
1.15,0.944665,33.8547,317.137,249.674,989.665,0,-14.4922,-33.3203,316.453,243.504,1410.03,0
1.155,0.593267,33.7183,321.387,249.666,989.538,0,-13.8193,-34.2016,320.06,242.289,1411.14,0
1.16,0.964622,33.2993,322.237,249.627,988.829,0,-13.5168,-34.9254,322.326,241.366,1412.5,0
1.165,1.58232,33.5639,325.126,248.92,988.743,0,-12.5139,-35.5411,322.16,240.507,1412.33,0
1.17,1.4882,33.0401,326.202,247.999,988.854,0,-11.9151,-35.5237,326.782,239.59,1413.26,0
1.175,1.34412,31.5596,326.969,247.961,988.462,0,-11.9516,-35.5145,329.331,239.357,1412.97,0
1.18,1.73924,31.5612,327.311,247.74,987.691,0,-12.7383,-35.0898,328.389,238.578,1413.81,0
1.185,2.49802,31.5541,323.767,247.115,987.705,0,-13.0417,-34.4611,329.752,238.13,1415.22,0
1.19,3.84229,30.7427,323.283,247.104,988.273,0,-12.3455,-33.8619,330.246,237.255,1415.95,0
1.195,4.19109,29.6048,323.284,246.142,987.698,0,-11.139,-33.6282,332.213,236.495,1416.37,0
1.2,4.05142,28.2781,320.049,246.034,987.444,0,-10.5347,-33.7823,328.998,235.522,1415.45,0
